Tag,Author,Year,Title,URL,Excerpt
2013_DAkhawe_Alicein,"['D Akhawe', 'AP Felt']",2013,Alice in warningland: A large-scale field study of browser security warning effectiveness,https://www.usenix.org/conference/usenixsecurity13/technical-sessions/presentation/akhawe,N/A
2020_SBock_Nudgingt,"['S Bock', 'N Momen']",2020,Nudging the User with Privacy Indicator: A Study on the App Selection Behavior of the User,https://dl.acm.org/doi/abs/10.1145/3419249.3420111,N/A
2015_MFagan_Howdoes,"['M Fagan', 'MMH Khan']",2015,How does this message make you feel? A study of user perspectives on software update/warning message design,https://hcis-journal.springeropen.com/articles/10.1186/s13673-015-0053-y,N/A
2012_MRudolph_Acritica,"['M Rudolph', 'R Schwarz']",2012,A critical survey of security indicator approaches,https://ieeexplore.ieee.org/abstract/document/6329197/,N/A
2009_JSunshine_CryingWo,"['J Sunshine', 'S Egelman', 'H Almuhimedi']",2009,Crying Wolf: An Empirical Study of SSL Warning Effectiveness.,https://static.usenix.org/events/sec09/tech/full_papers/sec09_browser.pdf,N/A
2010_YFujihara_Ausersu,"['Y Fujihara', 'Y Murayama']",2010,A user survey on the interface causing discomfort for warning,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1039.5112&rep=rep1&type=pdf,N/A
2020_YLiang_Financial,"['Y Liang', 'D Quan', 'F Wang', 'X Jia', 'M Li', 'T Li']",2020,Financial big data analysis and early warning platform: a case study,https://ieeexplore.ieee.org/abstract/document/8967014/,N/A
2008_SEgelman_You'vebe,"['S Egelman', 'LF Cranor', 'J Hong']",2008,You've been warned: an empirical study of the effectiveness of web browser phishing warnings,https://dl.acm.org/doi/abs/10.1145/1357054.1357219,N/A
2012_APFelt_Androidp,"['AP Felt', 'E Ha', 'S Egelman', 'A Haney', 'E Chin']",2012,"Android permissions: User attention, comprehension, and behavior",https://dl.acm.org/doi/abs/10.1145/2335356.2335360,N/A
2009_JKrumm_Asurvey,['J Krumm'],2009,A survey of computational location privacy,https://link.springer.com/content/pdf/10.1007/s00779-008-0212-5.pdf,N/A
